Line Item,Quantity,Ref Des,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,14,+ACI-C1, C2, C3, C4, C5, C6, C7,
C8, C9, C10, C11, C12, C13, C14+ACI-,100nF,TDK,FG18X7R1H104KNT06 ,Mouser,810+AC0-FG18X7R1H104KNT06
2,2,+ACI-C15, C16+ACI-,10uF,Panasonic,ECE+AC0-A1VKA100I,Mouser,667+AC0-ECE+AC0-A1VKA100I
3,8,+ACI-D1, D2, D3, D4, D5, D6, D7, D8+ACI-,1N5711,STMicroelectronics,1N5711,Mouser,511+AC0-1N5711
4,2,+ACI-D9, D10+ACI-,1N4001,Vishay,1N4001+AC0-E3/54,Mouser,625+AC0-1N4001+AC0-E3/54
5,8,+ACI-R8, R9, R18, R19, R28, R29, R38, R39+ACI-,2k,KOA Speer,MF1/4DCT52R2001F,Mouser,660+AC0-MF1/4DCT52R2001F
6,22,+ACI-R3, R4, R5, R6, R7, R13, R14, R15, R16, R17,
R23, R24, R25, R26, R27, R33, R34, R35,
R36, R37, R44, R45+ACI-,1k,KOA Speer,MF1/4DCT52R1001F,Mouser,660+AC0-MF1/4DCT52R1001F
7,4,+ACI-R1, R11, R21, R31+ACI-,100k,KOA Speer,MF1/4DCT52R1003F,Mouser,660+AC0-MF1/4D52R1003F
8,8,+ACI-R2, R10, R12, R20, R22, R30, R32, R40+ACI-,499R,KOA Speer,MF1/4DCT52R4990F,Mouser,660+AC0-MF1/4DCT52R4990F
9,1,R41,4.99k,KOA Speer,MF1/4DCT52R4991F,Mouser,660+AC0-MF1/4DCT52R4991F
10,1,R42,24.9k,KOA Speer,MF1/4DCT52R2492F,Mouser,660+AC0-MF1/4DCT52R2492F
11,1,R43,10k,KOA Speer,MF1/4DCT52R1002F,Mouser,660+AC0-MF1/4DCT52R1002F
12,6,+ACI-U1, U2, U3, U4, U5, U6+ACI-,LM6172,Texas Instruments,LM6172IN/NOPB,Mouser,926+AC0-LM6172IN/NOPB
13,1,U7,TL431,Texas Instruments,TL431BQLPR,Mouser,595+AC0-TL431BQLPR
14,1,U8,TL072,Texas Instruments,TL072IP,Mouser,595+AC0-TL072IP
15,2,+ACI-FB1, FB2+ACI-,Ferrite bead,Fair+AC0-Rite,2743001111,Mouser,623+AC0-2743001111
16,8,+ACI-J1, J2, J3, J4, J5, J6, J7, J8+ACI-,PJ398SM,Qingpu,PJ398SM,Thonk,PJ398SM
17,1,J9,10 pin power header,Wurth Elektronik,61201021621,Mouser,710+AC0-61201021621
18,2,+ACI-XS1, XS2 (control board)+ACI-,6pin female connector,GTK,A+AC0-1389,Tayda,A+AC0-1389
19,2,+ACI-XS1, XS2 (main board)+ACI-,6pin stackable connector,Tayda Electronics,TYARD6PINH,Tayda,A+AC0-1048
20,2,+ACI-XS1, XS2 (power board)+ACI-,6pin male connector (to break appart),GTK,40 Pin Header Strip,Tayda,A+AC0-197
21,2,,M3 spacer 11mm MF,Wurth Elektronik,971110365,Mouser,710+AC0-971110365
22,2,,M3 spacer 11mm FF,Wurth Elektronik,970110324,Mouser,710+AC0-970110324
23,4,,M3 screw 6mm,Tayda Electronics,M3 Stainless Screw 3x6mm,Tayda,A+AC0-4372
24,1,,VU002 Control board,Syntonie,VU002+AF8-REVC+AF8-Controlboard,Syntonie,VU002+AF8-REVC+AF8-Controlboard
25,1,,VU002 Main board,Syntonie,VU002+AF8-REVC+AF8-Mainboard,Syntonie,VU002+AF8-REVC+AF8-Mainboard
26,1,,VU002 Power board,Syntonie,VU002+AF8-REVC+AF8-Powerboard,Syntonie,VU002+AF8-REVC+AF8-Powerboard
27,1,,VU002 Front panel,Syntonie,VU002+AF8-REVC+AF8-FP,Syntonie,VU002+AF8-REVC+AF8-FP
