Line Item,Quantity,Reference Designators,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,4,,Spacer FF 11mm,Harwin,R30-1001102,Mouser,855-R30-1001102 
2,4,,Spacer MF 9mm,Harwin,R30-3000902,Mouser,855-R30-3000902 
3,4,,Spacer FF 45mm,,,,
4,12,,M3 Screws 6mm,Keystone,9191-3,Mouser,534-9191-3
5,4,,M3 Screws 8mm,RS Pro,281-186,RS Components,281-186
6,4,,Rubber foot,RS Pro,382-2386,RS Components,382-2386
7,1,Enclosure,"Laser cut enclosure, .ai file available",,,,
