Line Item,Quantity,Reference Designators,Description,Manufacturer,Manufacturer Part Number,Distributor,Distributor Part Number
1,4,,Spacer FF 11mm,Harwin,R30-1001102,Mouser,855-R30-1001102 
2,4,,Spacer MF 10mm,Harwin,R30-3001002,Mouser,855-R30-3001002
3,4,,Spacer FF 45mm,,,,
4,4,,M3 Screw 8mm,RS Pro,281-186,RS Components,281-186
5,12,,M3 Screw 6mm,RS Pro,822-9098 ,RS Components,822-9098 
6,4,,Rubber foot,RS Pro,382-2386,RS Components,382-2386
7,1,Enclosure,"Laser cut enclosure, .ai file available",,,,
